site,completeness,std,score
1120_1120,0.04714438874561734,0.05432435573181786,0.049298378841477496
1610_1610,0.044391643244183016,0.0602099595155319,0.049137138125587676
1665_1665,0.044507548317927616,0.058770219104894876,0.0487863495540178
1600_1600,0.04560864651850135,0.055759826743614474,0.04865400058603528
1675_1675,0.044710382196980675,0.05775074008292272,0.048622489562763285
9010_9010,0.0458114803975544,0.05500158707766075,0.04856851240158631
2350_2350,0.047115412477181186,0.05183439060680618,0.048531105916068684
2370_2370,0.046564863376894326,0.05310668394939704,0.04852740954864514
710_710,0.04589840920286285,0.054570725676824604,0.048500104145051376
1655_1655,0.04534786010257599,0.05563480206140597,0.04843394269022498
1040_1040,0.04607226681347976,0.053889980933405336,0.04841758104945743
640_640,0.04592738547129901,0.054176573991190476,0.04840214202726645
1660_1660,0.04459447712323607,0.05708375340149896,0.04834126000671493
2030_2030,0.0456955753238098,0.05418190481405512,0.04824147417088339
1840_1840,0.04560864651850135,0.054366256497567635,0.04823592951222123
1055_1055,0.046159195618788215,0.052625089499153954,0.048098963782897936
1070_1070,0.04528990756570369,0.05420148450836761,0.04796338064850286
760_760,0.04621714815566051,0.05190848241324074,0.04792454843293458
1340_1340,0.04526093129726754,0.054067977510851614,0.047903045161342764
1645_1645,0.044420619512619164,0.05599983114218844,0.047894383001489946
1075_1075,0.04601431427660746,0.052211889463129726,0.04787358683256414
1053_1053,0.04633305322940512,0.05112975826711715,0.047772064740718725
510_510,0.04566659905537365,0.05246398060707281,0.0477058135208834
1720_1720,0.04517400249195908,0.053417837512111335,0.04764715299800475
1086_1086,0.04531888383413984,0.052841749208297754,0.04757574344638721
1220_1220,0.04531888383413984,0.05257879937002226,0.047496858494904565
9030_9030,0.04534786010257599,0.05226731518986911,0.04742369662876393
2060_2060,0.04517400249195908,0.05239809515780966,0.04734123029171425
1074_1074,0.04557967025006519,0.05141653537938263,0.04733072978886042
270_270,0.046275100692532815,0.049749033925215715,0.04731728066233768
540_540,0.044710382196980675,0.053240090205052645,0.04726929459940226
2025_2025,0.04456550085479992,0.0533639377268473,0.047205031916414134
43316_43316,0.03937874880472893,0.06543685843486106,0.04719618169376857
1540_1540,0.046564863376894326,0.0484905592045898,0.04714257212520297
1420_1420,0.04537683637101214,0.05108098843102009,0.04708808198901452
1670_1670,0.04546376517632059,0.05082383432001012,0.04707178591942745
1695_1695,0.04476833473385297,0.052442503191460085,0.0470705852711351
